url,isEcommerce
cricpslt20.net,0
nestle.com,0
zumiez.com,1
survivorsfortress.com,0
dogsaholic.com,0
animalso.com,0
cagesidepress.com,0
wish.com,1
immihelp.com,0
ecco.com,1
ems.post,0
selectminds.com,0
bhldn.com,1
nzxt.com,1
dtlr.com,1
mrrebates.com,0
ppgpaints.com,0
alphr.com,0
fitday.com,0
adidasoutdoor.com,1
recruit.net,0
entityframework.net,0
readingraphics.com,1
vpnranks.com,0
homebnc.com,0
icebox.com,1
savedelete.com,0
androidcentral.com,0
endmyopia.org,0
dfliq.net,0
recordinghacks.com,0
chicme.com,1
us.moleskine.com/en/,1
jrdunn.com,1
chase.com,0
headsetplus.com,1
floodlightsblog.com,0
flatpanelshd.com,0
udupi-recipes.com,0
stilltasty.com,0
epocrates.com,0
bestop.com,1
shopyourway.com,0
homedsgn.com,0
hamiltonwatch.com,1
empireflippers.com,0
fairyseason.com,1
packagetrackr.com,0
colorpsychology.org,0
watchtime.com,0
webtranslateit.com,0
transparency.org,0
aaos.org,0
durexusa.com,1
thedeliciouscrescent.com,0
vapingcheap.com,0
nexperia.com,0
patreon.com,0
efaucets.com,1
functionofbeauty.com,1
bigfishgames.com,1
foursquare.com,0
essentiallysports.com,0
greenfieldpuppies.com,0
tcl.edu,0
tech21.com,1
rvca.com,1
shopdcentertainment.com,1
lorextechnology.com,1
shoplc.com,1
binnys.com,1
wrcbtv.com,0
yourkidstable.com,0
bulova.com,0
apliiq.com,1
astrology-zodiac-signs.com,0
steroid.com,0
printrunner.com,1
addictinggames.com,0
simplipleasure.com,1
dailysabah.com,0
provenpeptides.com,1
usell.com,0
mastersintime.com,1
sitstay.com,1
fpvknowitall.com,0
forcreativejuice.com,0
vogue-eyewear.com,0
wishespoems.com,0
restartyourstyle.com,0
humnutrition.com,1
babynames.co.uk,0
e-junkie.com,0
carcaretotal.com,0
caymanchem.com,0
meundies.com,1
alphagraphics.com,0
https://www.makeupforever.com/us/en?l=en&c=US,1
sizeupapparel.com,1
dog-breeds-expert.com,0
domain.com,0
babynology.com,0
capnfatz.com,0
pingdom.com,0
wativ.com,0
codeinwp.com,0
refersion.com,0
gymshark.com,1
bigelowtea.com,1
frys.com,1
ae.com,1
similarweb.com,0
gamersnexus.net,0
armscontrol.org,0
fresh.com,1
proactiv.com,1
invictawatch.com,0
citigroup.com,0
poodleforum.com,0
curology.com,0
redmagic.gg,1
audio46.com,1
123dentist.com,0
eastasiaforum.org,0
mindbodyonline.com,0
thebetterhealthstore.com,1
kinobody.com,1
abcfinancial.com,0
dynaudio.com,0
bios-mods.com,0
newchic.com,1
healthfully.com,0
asics.com,1
klim.com,1
images-amazon.com,0
gethealthyu.com,0
filippoloreti.com,1
tykables.com,1
surlatable.com,1
ceoworld.biz,0
dmv.org,0
lg.com,0
spigen.com,1
timex.com,1
duluthtrading.com,1
stashtea.com,1
harney.com,1
altenergy.org,0
pcm.com,0
bowmarnutrition.com,1
suprafootwear.com,1
bestpricenutrition.com,1
onehanesplace.com,1
catbirdnyc.com,1
zipify.com,0
loveandlavender.com,0
behindthechair.com,0
cattime.com,0
svms.org,0
estarland.com,1
apracticalwedding.com,0
bjs.com,0
fishlore.com,0
vogue.me,0
pedigree.com,0
partsgeek.com,1
vizio.com,1
ln-cc.com,1
ahrefs.com,0
ldoceonline.com,0
easyeda.com,0
reikirays.com,0
zoevacosmetics.com,1
rabbit.org,0
businesswire.com,0
antec.com,0
olightstore.com,1
lacoste.com,0
foodnavigator-usa.com,0
bjpenn.com,0
eventbrite.com,0
gnomonwatches.com,1
ufcstore.com,1
gmedication.com,0
tribalhollywood.com,1
cellphonecases.com,1
parachutehome.com,0
specialtyproduce.com,0
kkwbeauty.com,1
denniskirk.com,1
mixbook.com,1
pearlevision.com,0
wfcdn.com,0
opticontacts.com,1
musclepharm.com,1
frederiqueconstant.com,1
expandfurniture.com,1
petcarerx.com,1
cases.com,1
cellucor.com,1
savagex.com,1
stockx.com,0
scala-lang.org,0
bikemunk.com,0
lowkickmma.com,0
unisportstore.com,1
fabricmartfabrics.com,1
piaget.com,1
avadirect.com,1
bedsider.org,0
nationalinterest.org,0
trudoor.com,0
ashasexualhealth.org,0
vitaminshoppe.com,0
idahostatesman.com,0
petco.com,1
unode50.com,1
sewingpartsonline.com,1
thompsontee.com,1
acdirect.com,1
corsair.com,0
fragrancenet.com,0
asgardia.space,0
snapchat.com,0
threadless.com,1
hackmath.net,0
katvondbeauty.com,1
imei.info,0
toofaced.com,1
gojane.com,1
sizeupapparel.com,1
filippoloreti.com,1
tykables.com,1
gojane.com,1
murad.com,1
joesjeans.com,1
5percentnutrition.com,1
